probe_id,asn,isp,is_target_isp,label,confidence,reason
60780,8903.0,Other (AS8903),False,RESIDENTIAL,soft-inference,"behind NAT (system-ipv4-rfc1918), no location tag"
60900,12479.0,Orange Espana,True,RESIDENTIAL,soft-inference,"behind NAT (system-ipv4-rfc1918), no location tag"
61019,3262.0,Other (AS3262),False,INFRASTRUCTURE,declared,location tag: office
61052,207026.0,Other (AS207026),False,RESIDENTIAL,soft-inference,"behind NAT (system-ipv4-rfc1918), no location tag"
61201,56882.0,Other (AS56882),False,RESIDENTIAL,soft-inference,"behind NAT (system-ipv4-rfc1918), no location tag"
61230,3352.0,Movistar / Telefonica,True,RESIDENTIAL,soft-inference,"behind NAT (system-ipv4-rfc1918), no location tag"
61357,3352.0,Movistar / Telefonica,True,RESIDENTIAL,declared,location tag: home
61456,3352.0,Movistar / Telefonica,True,RESIDENTIAL,declared,location tag: home
61476,56882.0,Other (AS56882),False,RESIDENTIAL,soft-inference,"behind NAT (system-ipv4-rfc1918), no location tag"
61531,12479.0,Orange Espana,True,RESIDENTIAL,declared,location tag: home
61547,3352.0,Movistar / Telefonica,True,RESIDENTIAL,soft-inference,"behind NAT (system-ipv4-rfc1918), no location tag"
61646,57269.0,Other (AS57269),False,RESIDENTIAL,soft-inference,"behind NAT (system-ipv4-rfc1918), no location tag"
61719,3352.0,Movistar / Telefonica,True,RESIDENTIAL,soft-inference,"behind NAT (system-ipv4-rfc1918), no location tag"
62255,57269.0,Other (AS57269),False,RESIDENTIAL,soft-inference,"behind NAT (system-ipv4-rfc1918), no location tag"
62301,205241.0,Other (AS205241),False,RESIDENTIAL,soft-inference,"behind NAT (system-ipv4-rfc1918), no location tag"
62325,60171.0,Other (AS60171),False,RESIDENTIAL,soft-inference,"behind NAT (system-ipv4-rfc1918), no location tag"
62336,766.0,Other (AS766),False,UNKNOWN,weak-hint,"hardware probe, no location tag"
62588,3352.0,Movistar / Telefonica,True,RESIDENTIAL,declared,location tag: home
62669,62412.0,Other (AS62412),False,INFRASTRUCTURE,declared,location tag: isp
62908,3352.0,Movistar / Telefonica,True,RESIDENTIAL,declared,location tag: home
62939,3352.0,Movistar / Telefonica,True,RESIDENTIAL,soft-inference,"behind NAT (system-ipv4-rfc1918), no location tag"
63047,207714.0,Other (AS207714),False,RESIDENTIAL,soft-inference,"behind NAT (system-ipv4-rfc1918), no location tag"
63051,57269.0,Other (AS57269),False,RESIDENTIAL,soft-inference,"behind NAT (system-ipv4-rfc1918), no location tag"
63085,34511.0,Other (AS34511),False,RESIDENTIAL,soft-inference,"behind NAT (system-ipv4-rfc1918), no location tag"
64325,12430.0,Vodafone Espana,True,RESIDENTIAL,soft-inference,"behind NAT (system-ipv4-rfc1918), no location tag"
